# Historical (delisted/acquired) symbol->CIK intervals resolved from SEC
# FSDS sub.txt instance prefixes. GENERATED by
# scripts/build_cik_map_historical.py; build_cik_map.py re-merges these on
# every regeneration. Sources + verification: see
# src/trading/venues/universes/sources/PROVENANCE.md. The name column is
# review evidence (the filer's FSDS registered name), not consumed by code.
symbol,cik,start,end,name
MASI,937556,2017-01-01,2026-06-11,"MASIMO CORP"
MBFI,1139812,2017-01-01,2019-03-22,"MB FINANCIAL INC /MD"
MDP,65011,2017-01-01,2020-04-27,"MEREDITH CORP"
MDR,708819,2017-01-01,2019-09-23,"MCDERMOTT INTERNATIONAL INC"
MDRX,1124804,2017-01-01,2020-06-22,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC."
MDSO,1453814,2017-01-01,2019-10-24,"MEDIDATA SOLUTIONS, INC."
MIK,1593936,2017-01-01,2019-09-23,"MICHAELS COMPANIES, INC."
MIME,1644675,2017-01-01,2022-05-19,"MIMECAST LTD"
MMC,62709,2017-01-01,2026-01-14,"MARSH & MCLENNAN COMPANIES, INC."
MODG,837465,2017-01-01,2023-12-18,"TOPGOLF CALLAWAY BRANDS CORP."
MPW,1287865,2017-01-01,2024-03-18,"MEDICAL PROPERTIES TRUST INC"
MRO,101778,2017-01-01,2024-11-26,"MARATHON OIL CORP"
MXIM,743316,2017-01-01,2021-08-30,"MAXIM INTEGRATED PRODUCTS INC"
NARI,1531048,2017-01-01,2024-04-01,"INARI MEDICAL, INC."
NATI,935494,2017-01-01,2023-10-12,"NATIONAL INSTRUMENTS CORP"
NBL,72207,2017-01-01,2020-10-12,"NOBLE ENERGY INC"
NLOK,849399,2017-01-01,2022-11-08,"NORTONLIFELOCK INC."
NUVA,1142596,2017-01-01,2022-12-19,"NUVASIVE INC"
OAS,1486159,2017-01-01,2019-12-13,"OASIS PETROLEUM INC."
PACW,1102112,2017-01-01,2023-04-05,"PACWEST BANCORP"
PARA,813828,2017-01-01,2025-08-08,"PARAMOUNT GLOBAL"
PBCT,1378946,2017-01-01,2022-04-04,"PEOPLE'S UNITED FINANCIAL, INC."
PCH,1338749,2017-01-01,2026-02-02,"POTLATCHDELTIC CORP"
PDCE,77877,2017-01-01,2023-08-08,"PDC ENERGY, INC."
PDCO,891024,2017-01-01,2024-01-05,"PATTERSON COMPANIES, INC."
PLT,914025,2017-01-01,2019-12-10,"PLANTRONICS INC /CA/"
PRAH,1613859,2017-01-01,2021-07-02,"PRA HEALTH SCIENCES, INC."
PRSP,1724670,2017-01-01,2021-05-07,"PERSPECTA INC."
PSB,866368,2017-01-01,2022-07-20,"PS BUSINESS PARKS, INC./MD"
PXD,1038357,2017-01-01,2024-05-08,"PIONEER NATURAL RESOURCES CO"
QEP,1108827,2017-01-01,2019-09-23,"QEP RESOURCES, INC."
RHT,1087423,2017-01-01,2019-07-15,"RED HAT INC"
RLGY,1398987,2017-01-01,2019-06-04,"REALOGY HOLDINGS CORP."
RTN,1047122,2017-01-01,2020-04-06,"RAYTHEON CO/"
SAFM,812128,2017-01-01,2022-07-27,"SANDERSON FARMS INC"
SCG,754737,2017-01-01,2019-01-02,"SCANA CORP"
SEE,1012100,2017-01-01,2023-10-18,"SEALED AIR CORP/DE"
SGEN,1060736,2017-01-01,2023-12-14,"SEAGEN INC."
SIVB,719739,2017-01-01,2023-03-15,"SVB FINANCIAL GROUP"
SIX,701374,2017-01-01,2022-07-26,"SIX FLAGS ENTERTAINMENT CORP"
SKX,1065837,2017-01-01,2025-09-12,"SKECHERS USA INC"
SNV,18349,2017-01-01,2026-01-02,"SYNOVUS FINANCIAL CORP"
SPLK,1353283,2017-01-01,2024-03-18,"SPLUNK INC"
SRC,1308606,2017-01-01,2024-01-23,"SPIRIT REALTY CAPITAL, INC."
SRCL,861878,2017-01-01,2024-11-06,"STERICYCLE INC"
STL,1070154,2017-01-01,2022-02-01,"STERLING BANCORP"
STOR,1538990,2017-01-01,2023-02-06,"STORE CAPITAL CORP"
SWAV,1642545,2017-01-01,2024-06-03,"SHOCKWAVE MEDICAL, INC."
SWN,7332,2017-01-01,2024-10-01,"SOUTHWESTERN ENERGY CO"
SYMC,849399,2017-01-01,2019-11-05,"SYMANTEC CORP"
SYNH,1610950,2017-01-01,2023-09-29,"SYNEOS HEALTH, INC."
TCO,890319,2017-01-01,2020-12-29,"TAUBMAN CENTERS INC"
TECD,790703,2017-01-01,2020-06-30,"TECH DATA CORP"
TGNA,39899,2017-01-01,2024-09-23,"TEGNA INC"
THS,1320695,2017-01-01,2021-09-03,"TREEHOUSE FOODS, INC."
TIF,98246,2017-01-01,2021-01-07,"TIFFANY & CO"
TMK,320335,2017-01-01,2019-08-08,"TORCHMARK CORP"
TPH,1561680,2017-01-01,2022-05-03,"TRI POINTE HOMES, INC."
TSS,721683,2017-01-01,2019-09-23,"TOTAL SYSTEM SERVICES INC"
TUP,1008654,2017-01-01,2019-09-23,"TUPPERWARE BRANDS CORP"
TWTR,1418091,2017-01-01,2022-11-01,"TWITTER, INC."
UFS,1381531,2017-01-01,2021-04-20,"DOMTAR CORP"
ULTI,1016125,2017-01-01,2019-05-07,"ULTIMATE SOFTWARE GROUP INC"
UMPQ,1077771,2017-01-01,2023-03-01,"UMPQUA HOLDINGS CORP"
UNVR,1494319,2017-01-01,2023-08-04,"UNIVAR SOLUTIONS INC."
VIAB,1339947,2017-01-01,2019-12-05,"VIACOM INC."
VIAC,813828,2017-01-01,2022-02-17,"VIACOMCBS INC."
VSCO,1856437,2017-01-01,2023-06-19,"VICTORIA'S SECRET & CO."
VSM,1660690,2017-01-01,2019-10-08,"VERSUM MATERIALS, INC."
WBA,1618921,2017-01-01,2025-08-28,"WALGREENS BOOTS ALLIANCE, INC."
WCG,1279363,2017-01-01,2020-01-28,"WELLCARE HEALTH PLANS, INC."
WPX,1518832,2017-01-01,2021-01-07,"WPX ENERGY, INC."
WRI,828916,2017-01-01,2021-08-04,"WEINGARTEN REALTY INVESTORS /TX/"
WRK,1732845,2017-01-01,2024-07-08,"WESTROCK CO"
X,1163302,2017-01-01,2025-06-24,"UNITED STATES STEEL CORP"
XEC,1168054,2017-01-01,2021-10-05,"CIMAREX ENERGY CO"
XLNX,743988,2017-01-01,2022-02-22,"XILINX INC"
Y,775368,2017-01-01,2022-10-20,"ALLEGHANY CORP /DE"
