# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
RKLB,1819994,2017-01-01,
RL,1037038,2017-01-01,
RLI,84246,2017-01-01,
RMBS,917273,2017-01-01,
RMD,943819,2017-01-01,
RNR,913144,2017-01-01,
ROIV,1635088,2017-01-01,
ROK,1024478,2017-01-01,
ROKU,1428439,2017-01-01,
ROL,84839,2017-01-01,
ROP,882835,2017-01-01,
ROST,745732,2017-01-01,
RPM,110621,2017-01-01,
RRC,315852,2017-01-01,
RRX,82811,2017-01-01,
RS,861884,2017-01-01,
RSG,1060391,2017-01-01,
RTX,101829,2020-04-03,
RUN,1469367,2017-01-01,
RVTY,31791,2023-05-16,
RXO,1929561,2017-01-01,
RYAN,1849253,2017-01-01,
RYN,52827,2017-01-01,
SABR,1597033,2017-01-01,
SAIA,1177702,2017-01-01,
SAIC,1571123,2017-01-01,
SAIL,2030781,2017-01-01,
SAM,949870,2017-01-01,
SANM,897723,2017-01-01,
SARO,2025410,2017-01-01,
SATS,1415404,2017-01-01,
SBAC,1034054,2017-01-01,
SBH,1368458,2017-01-01,
SBRA,1492298,2017-01-01,
SBUX,829224,2017-01-01,
SCHW,316709,2017-01-01,
SCI,89089,2017-01-01,
SE,1703399,2017-01-01,
SEDG,1419612,2017-01-01,
SEIC,350894,2017-01-01,
SF,720672,2017-01-01,
SFM,1575515,2017-01-01,
SGI,1206264,2017-01-01,
SHC,1822479,2017-01-01,
SHOP,1594805,2017-01-01,
SHW,89800,2017-01-01,
SIG,832988,2017-01-01,
SIGI,230557,2017-01-01,
SIRI,908937,2017-01-01,
SITM,1451809,2017-01-01,
SJM,91419,2017-01-01,
SKT,899715,2017-01-01,
SLAB,1038074,2017-01-01,
SLB,87347,2017-01-01,
SLG,1040971,2017-01-01,
SLGN,849869,2017-01-01,
SLM,1032033,2017-01-01,
SM,893538,2017-01-01,
SMCI,1375365,2017-01-01,
SMG,825542,2017-01-01,
SMTC,88941,2017-01-01,
SN,1957132,2017-01-01,
SNA,91440,2017-01-01,
SNDK,2023554,2017-01-01,
SNPS,883241,2017-01-01,
SNX,1177394,2017-01-01,
SO,92122,2017-01-01,
SOLS,2064953,2017-01-01,
SOLV,1964738,2017-01-01,
SON,91767,2017-01-01,
SPG,1063761,2017-01-01,
SPGI,64040,2017-01-01,
SPWR,1838987,2017-01-01,
SPXC,88205,2017-01-01,
SR,1126956,2017-01-01,
SRE,1032208,2017-01-01,
SRPT,873303,2017-01-01,
SSB,764038,2017-01-01,
SSD,920371,2017-01-01,
ST,1477294,2017-01-01,
STAA,718937,2017-01-01,
STAG,1479094,2017-01-01,
STE,1757898,2017-01-01,
STI,1881551,2017-01-01,
STLD,1022671,2017-01-01,
STRA,1013934,2017-01-01,
STRL,874238,2017-01-01,
STT,93751,2017-01-01,
STWD,1465128,2017-01-01,
STX,1137789,2017-01-01,
STZ,16918,2017-01-01,
SVC,945394,2017-01-01,
SW,2005951,2017-01-01,
SWK,93556,2017-01-01,
SWKS,4127,2017-01-01,
SWX,1692115,2017-01-01,
SXT,310142,2017-01-01,
SYF,1601712,2017-01-01,
SYK,310764,2017-01-01,
SYNA,817720,2017-01-01,
SYY,96021,2017-01-01,
T,732717,2017-01-01,
TAP,24545,2017-01-01,
TCBI,1077428,2017-01-01,
TCOM,1269238,2017-01-01,
TDC,816761,2017-01-01,
TDG,1260221,2017-01-01,
TDS,1051512,2017-01-01,
TDY,1094285,2017-01-01,
TEAM,1650372,2017-01-01,
TECH,842023,2017-01-01,
TEL,1385157,2017-01-01,
TER,97210,2017-01-01,
TEX,97216,2017-01-01,
TFC,92230,2017-01-01,
TFX,96943,2017-01-01,
TGT,27419,2017-01-01,
THC,70318,2017-01-01,
THG,944695,2017-01-01,
THO,730263,2017-01-01,
TJX,109198,2017-01-01,
TKO,1973266,2017-01-01,
TKR,98362,2017-01-01,
TLN,1622536,2017-01-01,
TMHC,1562476,2017-01-01,
TMO,97745,2017-01-01,
TMUS,1283699,2017-01-01,
TNDM,1438133,2017-01-01,
TNL,1361658,2017-01-01,
TOL,794170,2017-01-01,
TPL,1811074,2017-01-01,
TPR,1116132,2017-01-01,
TR,98677,2017-01-01,
TREE,1434621,2017-01-01,
TREX,1069878,2017-01-01,
TRGP,1389170,2017-01-01,
TRI,1075124,2017-01-01,
TRIP,1526520,2017-01-01,
TRMB,864749,2017-01-01,
TRMK,36146,2017-01-01,
TRN,99780,2017-01-01,
TROW,1113169,2017-01-01,
TRU,1552033,2017-01-01,
TRV,86312,2017-01-01,
TSCO,916365,2017-01-01,
TSLA,1318605,2017-01-01,
TSN,100493,2017-01-01,
TT,1466258,2017-01-01,
TTC,737758,2017-01-01,
TTD,1671933,2017-01-01,
TTEK,831641,2017-01-01,
TTMI,1116942,2017-01-01,
TTWO,946581,2017-01-01,
TWLO,1447669,2017-01-01,
TXN,97476,2017-01-01,
TXNM,1108426,2017-01-01,
TXRH,1289460,2017-01-01,
TXT,217346,2017-01-01,
TYL,860731,2017-01-01,
UA,1336917,2017-01-01,
UAA,1336917,2017-01-01,
UAL,100517,2017-01-01,
UBER,1543151,2017-01-01,
UBSI,729986,2017-01-01,
UDR,74208,2017-01-01,
UE,1611547,2017-01-01,
UFPI,912767,2017-01-01,
UGI,884614,2017-01-01,
UHS,352915,2017-01-01,
ULS,1901440,2017-01-01,
ULTA,1403568,2017-01-01,
UMBF,101382,2017-01-01,
UNH,731766,2017-01-01,
UNIT,2020795,2017-01-01,
UNM,5513,2017-01-01,
UNP,100885,2017-01-01,
UPS,1090727,2017-01-01,
URBN,912615,2017-01-01,
URI,1067701,2017-01-01,
USB,36104,2017-01-01,
USFD,1665918,2017-01-01,
UTHR,1082554,2017-01-01,
UTX,101829,2017-01-01,2020-04-03
V,1403161,2017-01-01,
VAC,1524358,2017-01-01,
VAL,314808,2017-01-01,
VC,1111335,2017-01-01,
VEEV,1393052,2017-01-01,
VFC,103379,2017-01-01,
VIAV,912093,2017-01-01,
VICI,1705696,2017-01-01,
VICR,751978,2017-01-01,
VLO,1035002,2017-01-01,
VLTO,1967680,2017-01-01,
VLY,714310,2017-01-01,
VMC,1396009,2017-01-01,
VMI,102729,2017-01-01,
VNO,899689,2017-01-01,
VNOM,2074176,2017-01-01,
VNT,1786842,2017-01-01,
VOD,839923,2017-01-01,
VOYA,1535929,2017-01-01,
VRSK,1442145,2017-01-01,
VRSN,1014473,2017-01-01,
VRT,1674101,2017-01-01,
VRTX,875320,2017-01-01,
VSAT,797721,2017-01-01,
VSH,103730,2017-01-01,
VSNT,2067876,2017-01-01,
VST,1692819,2017-01-01,
VSTS,1967649,2017-01-01,
VTR,740260,2017-01-01,
VTRS,1792044,2020-11-16,
VVV,1674910,2017-01-01,
VYX,70866,2017-01-01,
VZ,732712,2017-01-01,
WAB,943452,2017-01-01,
WAFD,936528,2017-01-01,
WAL,1212545,2017-01-01,
WAT,1000697,2017-01-01,
WBD,1437107,2017-01-01,
WBS,801337,2017-01-01,
WCC,929008,2017-01-01,
WDAY,1327811,2017-01-01,
WDC,106040,2017-01-01,
WEC,783325,2017-01-01,
WELL,766704,2017-01-01,
WEN,30697,2017-01-01,
WERN,793074,2017-01-01,
WEX,1309108,2017-01-01,
WFC,72971,2017-01-01,
WFRD,1603923,2017-01-01,
WH,1722684,2017-01-01,
WHR,106640,2017-01-01,
WING,1636222,2017-01-01,
WLK,1262823,2017-01-01,
WLTW,1140536,2017-01-01,2022-01-05
WLY,107140,2017-01-01,
WM,823768,2017-01-01,
WMB,107263,2017-01-01,
WMG,1319161,2017-01-01,
WMS,1604028,2017-01-01,
WMT,104169,2017-01-01,
WOLF,895419,2017-01-01,
WOR,108516,2017-01-01,
WPC,1025378,2017-01-01,
WRB,11544,2017-01-01,
WSM,719955,2017-01-01,
WSO,105016,2017-01-01,
WST,105770,2017-01-01,
WTFC,1015328,2017-01-01,
WTRG,78128,2017-01-01,
WTS,795403,2017-01-01,
WTW,1140536,2022-01-05,
WU,1365135,2017-01-01,
WW,105319,2017-01-01,
WWD,108312,2017-01-01,
WY,106535,2017-01-01,
WYNN,1174922,2017-01-01,
XEL,72903,2017-01-01,
XOM,34088,2017-01-01,
XPO,1166003,2017-01-01,
XRAY,818479,2017-01-01,
XRX,1770450,2017-01-01,
XYL,1524472,2017-01-01,
XYZ,1512673,2017-01-01,
YELP,1345016,2017-01-01,
YETI,1670592,2017-01-01,
YUM,1041061,2017-01-01,
ZBH,1136869,2017-01-01,
ZBRA,877212,2017-01-01,
ZD,1084048,2017-01-01,
ZION,109380,2017-01-01,
ZM,1585521,2017-01-01,
ZS,1713683,2017-01-01,
ZTS,1555280,2017-01-01,
ABMD,815094,2017-01-01,2022-12-22
ADS,1101215,2017-01-01,2020-06-22
AGN,1578845,2017-01-01,2020-05-12
AHL,1267395,2017-01-01,2019-02-21
AIRC,1820877,2017-01-01,2024-06-28
ALE,66756,2017-01-01,2025-12-17
ALEX,1545654,2017-01-01,2020-02-07
ALXN,899866,2017-01-01,2021-07-21
AMED,896262,2017-01-01,2025-08-19
ANSS,1013462,2017-01-01,2025-07-18
ARNC,4281,2017-01-01,2020-04-06
ASGN,890564,2017-01-01,2026-03-23
ATGE,730464,2017-01-01,2021-07-07
ATVI,718877,2017-01-01,2023-10-18
BK,1390777,2017-01-01,2026-05-21
BLL,9389,2017-01-01,2022-05-10
BMS,11199,2017-01-01,2019-06-07
CADE,1614184,2017-01-01,2026-02-02
CCMP,1102934,2017-01-01,2022-07-07
CDAY,1725057,2017-01-01,2024-02-01
CDK,1609702,2017-01-01,2022-07-06
CELG,816284,2017-01-01,2019-11-21
CERN,804753,2017-01-01,2022-06-08
CHFC,19612,2017-01-01,2019-08-01
CHK,895126,2017-01-01,2020-02-27
CIT,1171825,2017-01-01,2022-01-04
CIVI,1509589,2017-01-01,2026-01-30
CLGX,36047,2017-01-01,2021-06-09
CLI,924901,2017-01-01,2020-09-21
CMA,28412,2017-01-01,2026-02-02
CMD,19446,2017-01-01,2021-06-02
COG,858470,2017-01-01,2021-10-04
CPE,928022,2017-01-01,2019-09-26
CTL,18926,2017-01-01,2020-09-18
CTLT,1596783,2017-01-01,2024-12-23
CTRA,858470,2017-01-01,2026-05-07
CTXS,877890,2017-01-01,2022-10-03
CVET,1752836,2017-01-01,2019-10-30
CXO,1358071,2017-01-01,2021-01-21
CY,791915,2017-01-01,2020-04-13
DFS,1393612,2017-01-01,2025-05-19
DISCA,1437107,2017-01-01,2022-04-11
DISH,1001082,2017-01-01,2023-06-20
DLPH,1707092,2017-01-01,2020-10-07
DNKN,1357204,2017-01-01,2020-12-21
DOC,1574540,2017-01-01,2024-03-04
DRE,783280,2017-01-01,2022-10-03
DRQ,1042893,2017-01-01,2019-02-04
ENV,1337619,2017-01-01,2023-11-07
ETFC,1015780,2017-01-01,2020-10-07
EV,350797,2017-01-01,2021-03-01
FL,850209,2017-01-01,2023-09-18
FLIR,354908,2017-01-01,2021-05-14
FLT,1175454,2017-01-01,2024-03-25
FYBR,20520,2017-01-01,2026-01-22
GPS,39911,2017-01-01,2022-02-02
GRUB,1594109,2017-01-01,2021-06-15
GWR,1012620,2017-01-01,2019-12-26
HBI,1359841,2017-01-01,2023-03-20
HES,4447,2017-01-01,2025-07-23
HOLX,859737,2017-01-01,2026-04-09
HRC,47518,2017-01-01,2021-12-20
IAA,1745041,2017-01-01,2023-03-22
IDTI,703361,2017-01-01,2019-04-01
INFO,1598014,2017-01-01,2022-03-02
INT,789460,2017-01-01,2021-08-04
IPG,51644,2017-01-01,2025-11-28
ISCA,51548,2017-01-01,2019-10-18
JEC,52988,2017-01-01,2019-12-10
JNPR,1043604,2017-01-01,2025-07-09
JWN,72333,2017-01-01,2025-05-22
KAR,1395942,2017-01-01,2021-12-02
KSU,54480,2017-01-01,2021-12-14
LHCG,1303313,2017-01-01,2023-02-23
LLL,1039101,2017-01-01,2019-07-01
LM,704051,2017-01-01,2020-08-03
LNW,750004,2017-01-01,2025-11-13
LOGM,1420302,2017-01-01,2020-09-01
LSI,944314,2017-01-01,2023-07-24
MASI,937556,2017-01-01,2026-06-11
MBFI,1139812,2017-01-01,2019-03-22
MDP,65011,2017-01-01,2020-04-27
MDR,708819,2017-01-01,2019-09-23
MDRX,1124804,2017-01-01,2020-06-22
MDSO,1453814,2017-01-01,2019-10-24
MIK,1593936,2017-01-01,2019-09-23
MIME,1644675,2017-01-01,2022-05-19
MMC,62709,2017-01-01,2026-01-14
MODG,837465,2017-01-01,2023-12-18
MPW,1287865,2017-01-01,2024-03-18
MRO,101778,2017-01-01,2024-11-26
MXIM,743316,2017-01-01,2021-08-30
NARI,1531048,2017-01-01,2024-04-01
NATI,935494,2017-01-01,2023-10-12
NBL,72207,2017-01-01,2020-10-12
NLOK,849399,2017-01-01,2022-11-08
NUVA,1142596,2017-01-01,2022-12-19
OAS,1486159,2017-01-01,2019-12-13
PACW,1102112,2017-01-01,2023-04-05
PARA,813828,2017-01-01,2025-08-08
PBCT,1378946,2017-01-01,2022-04-04
PCH,1338749,2017-01-01,2026-02-02
PDCE,77877,2017-01-01,2023-08-08
PDCO,891024,2017-01-01,2024-01-05
PLT,914025,2017-01-01,2019-12-10
PRAH,1613859,2017-01-01,2021-07-02
PRSP,1724670,2017-01-01,2021-05-07
PSB,866368,2017-01-01,2022-07-20
PXD,1038357,2017-01-01,2024-05-08
QEP,1108827,2017-01-01,2019-09-23
RHT,1087423,2017-01-01,2019-07-15
RLGY,1398987,2017-01-01,2019-06-04
RTN,1047122,2017-01-01,2020-04-06
SAFM,812128,2017-01-01,2022-07-27
SCG,754737,2017-01-01,2019-01-02
SEE,1012100,2017-01-01,2023-10-18
SGEN,1060736,2017-01-01,2023-12-14
SIVB,719739,2017-01-01,2023-03-15
SIX,701374,2017-01-01,2022-07-26
SKX,1065837,2017-01-01,2025-09-12
SNV,18349,2017-01-01,2026-01-02
SPLK,1353283,2017-01-01,2024-03-18
SRC,1308606,2017-01-01,2024-01-23
SRCL,861878,2017-01-01,2024-11-06
STL,1070154,2017-01-01,2022-02-01
STOR,1538990,2017-01-01,2023-02-06
SWAV,1642545,2017-01-01,2024-06-03
SWN,7332,2017-01-01,2024-10-01
SYMC,849399,2017-01-01,2019-11-05
SYNH,1610950,2017-01-01,2023-09-29
TCO,890319,2017-01-01,2020-12-29
TECD,790703,2017-01-01,2020-06-30
TGNA,39899,2017-01-01,2024-09-23
THS,1320695,2017-01-01,2021-09-03
TIF,98246,2017-01-01,2021-01-07
TMK,320335,2017-01-01,2019-08-08
TPH,1561680,2017-01-01,2022-05-03
TSS,721683,2017-01-01,2019-09-23
TUP,1008654,2017-01-01,2019-09-23
TWTR,1418091,2017-01-01,2022-11-01
UFS,1381531,2017-01-01,2021-04-20
ULTI,1016125,2017-01-01,2019-05-07
UMPQ,1077771,2017-01-01,2023-03-01
UNVR,1494319,2017-01-01,2023-08-04
VIAB,1339947,2017-01-01,2019-12-05
VIAC,813828,2017-01-01,2022-02-17
VSCO,1856437,2017-01-01,2023-06-19
VSM,1660690,2017-01-01,2019-10-08
WBA,1618921,2017-01-01,2025-08-28
WCG,1279363,2017-01-01,2020-01-28
WPX,1518832,2017-01-01,2021-01-07
WRI,828916,2017-01-01,2021-08-04
WRK,1732845,2017-01-01,2024-07-08
X,1163302,2017-01-01,2025-06-24
XEC,1168054,2017-01-01,2021-10-05
XLNX,743988,2017-01-01,2022-02-22
Y,775368,2017-01-01,2022-10-20
