# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
CHE,19584,2017-01-01,
CHH,1046311,2017-01-01,
CHKP,1015922,2017-01-01,
CHRD,1486159,2017-01-01,
CHRW,1043277,2017-01-01,
CHTR,1091667,2017-01-01,
CHWY,1766502,2017-01-01,
CI,1739940,2017-01-01,
CIEN,936395,2017-01-01,
CINF,20286,2017-01-01,
CL,21665,2017-01-01,
CLB,1958086,2017-01-01,
CLF,764065,2017-01-01,
CLH,822818,2017-01-01,
CLX,21076,2017-01-01,
CMC,22444,2017-01-01,
CMCSA,1166691,2017-01-01,
CME,1156375,2017-01-01,
CMG,1058090,2017-01-01,
CMI,26172,2017-01-01,
CMP,1227654,2017-01-01,
CMS,811156,2017-01-01,
CNC,1071739,2017-01-01,
CNH,1567094,2017-01-01,
CNK,1385280,2017-01-01,
CNM,1856525,2017-01-01,
CNO,1224608,2017-01-01,
CNP,1130310,2017-01-01,
CNX,1070412,2017-01-01,
CNXC,1803599,2017-01-01,
COF,927628,2017-01-01,
COHR,820318,2017-01-01,
COIN,1679788,2017-01-01,
COKE,317540,2017-01-01,
COLB,887343,2017-01-01,
COLM,1050797,2017-01-01,
COO,711404,2017-01-01,
COP,1163165,2017-01-01,
COR,1140859,2023-08-30,
COST,909832,2017-01-01,
COTY,1024305,2017-01-01,
CPAY,1175454,2017-01-01,
CPB,16732,2017-01-01,
CPRI,1530721,2017-01-01,
CPRT,900075,2017-01-01,
CPT,906345,2017-01-01,
CR,1944013,2017-01-01,
CRBG,1889539,2017-01-01,
CRH,849395,2017-01-01,
CRI,1060822,2017-01-01,
CRL,1100682,2017-01-01,
CRM,1108524,2017-01-01,
CRNC,1768267,2017-01-01,
CROX,1334036,2017-01-01,
CRS,17843,2017-01-01,
CRUS,772406,2017-01-01,
CRWD,1535527,2017-01-01,
CRWV,1769628,2017-01-01,
CSCO,858877,2017-01-01,
CSGP,1057352,2017-01-01,
CSL,790051,2017-01-01,
CSX,277948,2017-01-01,
CTAS,723254,2017-01-01,
CTRE,1590717,2017-01-01,
CTSH,1058290,2017-01-01,
CTVA,1755672,2017-01-01,
CUBE,1298675,2017-01-01,
CUZ,25232,2017-01-01,
CVLT,1169561,2017-01-01,
CVNA,1690820,2017-01-01,
CVS,64803,2017-01-01,
CVX,93410,2017-01-01,
CW,26324,2017-01-01,
CXT,25445,2017-01-01,
CXW,1070985,2017-01-01,
CYTK,1061983,2017-01-01,
CZR,1590895,2017-01-01,
D,715957,2017-01-01,
DAL,27904,2017-01-01,
DAN,26780,2017-01-01,
DAR,916540,2017-01-01,
DASH,1792789,2017-01-01,
DBX,1467623,2017-01-01,
DCI,29644,2017-01-01,
DD,1666700,2019-06-03,
DDOG,1561550,2017-01-01,
DDS,28917,2017-01-01,
DE,315189,2017-01-01,
DECK,910521,2017-01-01,
DEI,1364250,2017-01-01,
DELL,1571996,2017-01-01,
DG,29534,2017-01-01,
DGX,1022079,2017-01-01,
DHC,1075415,2017-01-01,
DHI,882184,2017-01-01,
DHR,313616,2017-01-01,
DINO,1915657,2017-01-01,
DIS,1744489,2017-01-01,
DKS,1089063,2017-01-01,
DLB,1308547,2017-01-01,
DLR,1297996,2017-01-01,
DLTR,935703,2017-01-01,
DLX,27996,2017-01-01,
DNOW,1599617,2017-01-01,
DOC,765880,2024-03-04,
DOCN,1582961,2017-01-01,
DOCS,1516513,2017-01-01,
DOCU,1261333,2017-01-01,
DOV,29905,2017-01-01,
DOW,1751788,2017-01-01,
DPZ,1286681,2017-01-01,
DRI,940944,2017-01-01,
DT,1773383,2017-01-01,
DTE,936340,2017-01-01,
DTM,1842022,2017-01-01,
DUK,1326160,2017-01-01,
